X,Y,Station,Fecha_colocación,Fecha_retiro,Problem1_from,Problem1_to
694015,2008951,CB23,10/05/2013,31/07/2013,,
691686,2009547,CB24,01/05/2013,28/07/2013,,
693632,2009807,CB25,01/05/2013,31/07/2013,01/06/2013,30/06/2013
692800,2008239,CB26,05/05/2013,31/07/2013,,
690346,2010022,CB27,01/05/2013,31/07/2013,30/05/2013,15/06/2013
